"","X","Y"
"1",7440210.92096476,4957018.17349689
"2",7440289.01579957,4956971.22731912
"3",7440088.79713278,4956690.44652222
"4",7439979.74017767,4956542.14261176
"5",7439929.94254052,4956499.944818
"6",7439845.14527504,4956372.74794305
"7",7439838.87883784,4956312.36643974
"8",7439760.88749762,4956370.8717173
"9",7439754.14612037,4956394.93332991
"10",7439802.32084345,4956466.47631729
"11",7439904.79213121,4956587.28532844
"12",7439994.55214339,4956703.77062588
"13",7440210.92096476,4957018.17349689
