lokacija,broj_soba,kvadratura,sprat,novogradnja,centralno_grejanje,lift,parking,uknjizen,stanje,cena,klasa,adresa,latitude,longitude
Beli dvor,2,35,P,NA,DA,NA,NA,DA,NA,2000,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
Beli dvor,3,52,I-II,DA,DA,NA,NE,DA,2,2000,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
Beli dvor,2,47,I-II,NA,NE,NA,DA,DA,NA,2000,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
Beli dvor,2,52,I-II,DA,DA,NA,DA,DA,2,2000,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
Beli dvor,3,80,I-II,DA,DA,NA,DA,DA,2,2000,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
"Centar, Stari grad",3,65,I-II,NE,DA,DA,NA,DA,1,2000,1.7-2K,"Centar, Stari grad, Beograd, Srbija",44.82532475,20.47629282
"Centar, Stari grad",2,68,III-IV,DA,DA,DA,NA,DA,2,2000,1.7-2K,"Centar, Stari grad, Beograd, Srbija",44.82532475,20.47629282
"Centar, Stari grad",4,160,V+,NA,DA,DA,NA,DA,2,2000,1.7-2K,"Centar, Stari grad, Beograd, Srbija",44.82532475,20.47629282
Crveni krst,2,34,III-IV,DA,DA,DA,DA,DA,2,2000,1.7-2K,"Crveni krst, Beograd, Srbija",44.7978965,20.48663698
Crveni krst,1,45,V+,NE,DA,DA,DA,DA,1,2000,1.7-2K,"Crveni krst, Beograd, Srbija",44.7978965,20.48663698
Djeram pijaca,1,34,III-IV,DA,DA,DA,NE,DA,2,2000,1.7-2K,"Djeram pijaca, Beograd, Srbija",44.8013383,20.48723945
Djeram pijaca,4,160,V+,DA,DA,DA,DA,DA,2,2000,1.7-2K,"Djeram pijaca, Beograd, Srbija",44.8013383,20.48723945
Donji Dorcol,1,27,V+,NE,NE,DA,DA,DA,1,2000,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Donji Dorcol,3,70,V+,NA,DA,DA,NA,DA,NA,2000,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
"Novi Beograd, Blokovi Sava",2,60,III-IV,NA,DA,DA,DA,DA,2,2000,1.7-2K,"Novi Beograd, Blokovi Sava, Beograd, Srbija",44.796768,20.393582
"Novi Beograd, Sava Centar",3,65,III-IV,NE,DA,NE,NE,DA,2,2000,1.7-2K,"Novi Beograd, Sava Centar, Beograd, Srbija",44.809051,20.433017
Tašmajdan,2,58,V+,NE,DA,DA,NE,DA,1,2000,1.7-2K,"Tašmajdan, Beograd, Srbija",44.80912255,20.47062022
"Vracar, Hram",2,50,I-II,NE,NE,NA,NA,DA,1,2000,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
"Vracar, Hram",4,120,III-IV,DA,DA,DA,DA,DA,2,2000,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
"Vracar, Hram",1,36,V+,NA,DA,DA,NA,DA,1,2000,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
"Vracar, Kalenic pijaca",1,43,III-IV,NE,DA,DA,NA,DA,1,2000,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
Vukov Spomenik,1,32,III-IV,NE,NE,DA,NA,DA,NA,2000,1.7-2K,"Vukov Spomenik, Beograd, Srbija",44.8050568,20.4777413
"Vracar, Hram",4,90,I-II,DA,DA,DA,DA,DA,1,1994.444444,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
"Centar, Stari grad",3,115,I-II,NE,DA,NE,NA,DA,2,1991.304348,1.7-2K,"Centar, Stari grad, Beograd, Srbija",44.82532475,20.47629282
"Centar, Stari grad",2,42,III-IV,NE,DA,DA,DA,DA,2,1988.095238,1.7-2K,"Centar, Stari grad, Beograd, Srbija",44.82532475,20.47629282
"Vracar, Hram",2,53,I-II,NA,DA,NA,NA,DA,NA,1981.132075,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
Beli dvor,2,51,I-II,NA,NE,NA,DA,DA,1,1980.392157,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
Kalemegdan,3,90,I-II,NA,DA,DA,NA,DA,2,1977.777778,1.7-2K,"Kalemegdan, Beograd, Srbija",44.8232255,20.45085515
Beli dvor,3,86,I-II,NE,DA,NA,NA,DA,1,1976.744186,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
Lekino Brdo,3,81,III-IV,DA,DA,DA,NA,DA,1,1975.308642,1.7-2K,"Lekino Brdo, Beograd, Srbija",44.7901689,20.484559
Kalemegdan,1,23,I-II,NE,NE,DA,NA,DA,1,1969.565217,1.7-2K,"Kalemegdan, Beograd, Srbija",44.8232255,20.45085515
Slavija,2,35,III-IV,NE,NE,DA,NA,DA,NA,1968.571429,1.7-2K,"Slavija, Beograd, Srbija",44.8020437,20.46723989
Slavija,1,29,V+,NE,DA,DA,NA,DA,1,1965.517241,1.7-2K,"Slavija, Beograd, Srbija",44.8020437,20.46723989
Tašmajdan,2,42,III-IV,NE,NE,NE,NE,DA,1,1964.285714,1.7-2K,"Tašmajdan, Beograd, Srbija",44.80912255,20.47062022
"Vracar, Hram",3,84,I-II,NE,NE,DA,NA,DA,NA,1964.285714,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
"Vracar, Kalenic pijaca",2,51,I-II,NE,NE,NA,NA,DA,1,1960.784314,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
Tašmajdan,2,68,V+,DA,NE,NA,NA,DA,1,1955.882353,1.7-2K,"Tašmajdan, Beograd, Srbija",44.80912255,20.47062022
Donji Dorcol,1,45,I-II,DA,DA,DA,NE,DA,2,1955.555556,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Donji Dorcol,1,45,I-II,DA,DA,DA,DA,DA,1,1955.555556,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Beli dvor,3,82,I-II,DA,DA,NA,DA,DA,NA,1951.219512,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
Golf naselje,4,164,III-IV,NA,DA,DA,NA,NA,2,1951.219512,1.7-2K,"Golf naselje, Beograd, Srbija",44.7758045,20.4225957
"Novi Beograd, Opština",4,100,III-IV,NE,DA,DA,NE,DA,2,1950,1.7-2K,"Novi Beograd, Opština, Beograd, Srbija",44.8133048,20.4183382
Beli dvor,3,59,I-II,NE,DA,NA,NA,DA,NA,1949.152542,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
"Novi Beograd, Fontana",4,96,III-IV,NA,DA,DA,DA,DA,NA,1947.916667,1.7-2K,"Novi Beograd, Fontana, Beograd, Srbija",44.8229094,20.4133401
Slavija,1,35,I-II,DA,DA,DA,NA,DA,NA,1942.857143,1.7-2K,"Slavija, Beograd, Srbija",44.8020437,20.46723989
"Vracar, Hram",4,98,V+,NE,DA,DA,DA,DA,1,1938.77551,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
Kalemegdan,2,65,I-II,NE,DA,DA,DA,DA,1,1938.461538,1.7-2K,"Kalemegdan, Beograd, Srbija",44.8232255,20.45085515
"Centar, Stari grad",4,92,I-II,DA,DA,DA,DA,DA,2,1934.782609,1.7-2K,"Centar, Stari grad, Beograd, Srbija",44.82532475,20.47629282
Kalemegdan,4,103,I-II,NE,DA,DA,NA,DA,1,1932.038835,1.7-2K,"Kalemegdan, Beograd, Srbija",44.8232255,20.45085515
Donji Dorcol,1,29,III-IV,NE,NE,NA,DA,DA,1,1931.034483,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Donji Dorcol,4,110,III-IV,DA,DA,DA,NA,DA,2,1926.363636,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Donji Dorcol,3,67,P,NA,DA,NA,NA,DA,2,1925.373134,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Tašmajdan,2,60,III-IV,NE,DA,DA,NE,DA,1,1916.666667,1.7-2K,"Tašmajdan, Beograd, Srbija",44.80912255,20.47062022
Beli dvor,3,94,III-IV,DA,DA,DA,NA,NE,2,1914.893617,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
Vukov Spomenik,1,80,III-IV,DA,DA,DA,NA,DA,NA,1912.5,1.7-2K,"Vukov Spomenik, Beograd, Srbija",44.8050568,20.4777413
"Vracar, Kalenic pijaca",2,68,V+,NE,DA,DA,NA,NA,1,1911.764706,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
Beli dvor,4,375,I-II,DA,DA,DA,NE,DA,2,1906.666667,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
"Novi Beograd, Sava Centar",4,160,I-II,DA,DA,DA,NE,DA,2,1906.25,1.7-2K,"Novi Beograd, Sava Centar, Beograd, Srbija",44.809051,20.433017
"Vracar, Kalenic pijaca",2,52,I-II,NE,NE,NA,NA,DA,1,1903.846154,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
"Novi Beograd, Sava Centar",2,63,I-II,DA,DA,DA,NE,DA,2,1903.174603,1.7-2K,"Novi Beograd, Sava Centar, Beograd, Srbija",44.809051,20.433017
"Novi Beograd, Opština",1,41,V+,NE,DA,DA,NA,DA,NA,1902.439024,1.7-2K,"Novi Beograd, Opština, Beograd, Srbija",44.8133048,20.4183382
Profesorska kolonija,2,61,III-IV,DA,DA,DA,NA,DA,1,1901.639344,1.7-2K,"Profesorska kolonija, Beograd, Srbija",44.8159841,20.479218
"Konjarnik, Denkova basta",4,95,III-IV,DA,DA,DA,DA,NA,NA,1900,1.7-2K,"Konjarnik, Denkova basta, Beograd, Srbija",44.7862123,20.5068795
"Novi Beograd, Hotel Jugoslavija",2,40,P,NE,DA,NA,NA,DA,1,1900,1.7-2K,"Novi Beograd, Hotel Jugoslavija, Beograd, Srbija",44.829643,20.419644
Lekino Brdo,4,115,I-II,DA,DA,DA,DA,DA,2,1900,1.7-2K,"Lekino Brdo, Beograd, Srbija",44.7901689,20.484559
"Vracar, Kalenic pijaca",1,29,P,DA,DA,DA,NA,NE,2,1900,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
"Vracar, Kalenic pijaca",2,54,I-II,DA,DA,DA,NA,NE,2,1900,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
"Vracar, Kalenic pijaca",1,28,V+,DA,DA,DA,NA,NE,2,1900,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
Lekino Brdo,3,52,P,DA,DA,NA,DA,DA,1,1894.230769,1.7-2K,"Lekino Brdo, Beograd, Srbija",44.7901689,20.484559
Donji Dorcol,2,66,I-II,NE,DA,DA,NA,DA,1,1893.939394,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
